Company Name,Sector,Ticker,MarketCap
3M India Ltd.,SERVICES,3MINDIA,21028
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,500
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,24944
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,15436
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,4387
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,17626
Aarti Industries Ltd.,CHEMICALS,AARTIIND,16151
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,10209
Abbott India Ltd.,PHARMA,ABBOTINDIA,33577
Adani Gas Ltd.,OIL & GAS,ADANIGAS,18015
Adani Green Energy Ltd.,POWER,ADANIGREEN,55960
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,70471
Adani Power Ltd.,POWER,ADANIPOWER,13827
Adani Transmission Ltd.,POWER,ADANITRANS,29189
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,16294
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL,9504
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,500
Aegis Logistics Ltd.,OIL & GAS,AEGISCHEM,5812
Affle (India) Ltd.,IT,AFFLE,3700
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,500
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,8199
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,16975
Alkem Laboratories Ltd.,PHARMA,ALKEM,28098
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,500
Allcargo Logistics Ltd.,SERVICES,ALLCARGO,2001
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,11685
Amber Enterprises India Ltd.,CONSUMER GOODS,AMBER,4530
Ambuja Cements Ltd.,CEMENT & CEMENT PRODUCTS,AMBUJACEM,38462
Apollo Hospitals Enterprise Ltd.,HEALTHCARE SERVICES,APOLLOHOSP,18949
Apollo Tyres Ltd.,AUTOMOBILE,APOLLOTYRE,6338
Arvind Fashions Ltd.,CONSUMER GOODS,ARVINDFASN,1557
Asahi India Glass Ltd.,AUTOMOBILE,ASAHIINDIA,4263
Ashok Leyland Ltd.,AUTOMOBILE,ASHOKLEY,14413
Ashoka Buildcon Ltd.,CONSTRUCTION,ASHOKA,1762
Asian Paints Ltd.,CONSUMER GOODS,ASIANPAINT,161788
Aster DM Healthcare Ltd.,HEALTHCARE SERVICES,ASTERDM,6054
AstraZenca Pharma India Ltd.,PHARMA,ASTRAZEN,500
Astral Poly Technik Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,14768
Atul Ltd.,CHEMICALS,ATUL,13381
Aurobindo Pharma Ltd.,PHARMA,AUROPHARMA,45686
Avanti Feeds Ltd.,CONSUMER GOODS,AVANTIFEED,6776
Avenue Supermarts Ltd.,CONSUMER GOODS,DMART,148693
Axis Bank Ltd.,FINANCIAL SERVICES,AXISBANK,119527
BASF India Ltd.,CHEMICALS,BASF,5352
BEML Ltd.,INDUSTRIAL MANUFACTURING,BEML,2666
BSE Ltd.,FINANCIAL SERVICES,BSE,2132
Bajaj Auto Ltd.,AUTOMOBILE,BAJAJ-AUTO,83012
Bajaj Consumer Care Ltd.,CONSUMER GOODS,BAJAJCON,2162
Bajaj Electricals Ltd,CONSUMER GOODS,BAJAJELEC,500
Bajaj Finance Ltd.,FINANCIAL SERVICES,BAJFINANCE,178641
Bajaj Finserv Ltd.,FINANCIAL SERVICES,BAJAJFINSV,98622
Bajaj Holdings & Investment Ltd.,FINANCIAL SERVICES,BAJAJHLDNG,28789
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,24701
Balmer Lawrie & Co. Ltd.,INDUSTRIAL MANUFACTURING,BALMLAWRIE,500
Balrampur Chini Mills Ltd.,CONSUMER GOODS,BALRAMCHIN,2892
Bandhan Bank Ltd.,FINANCIAL SERVICES,BANDHANBNK,55732
Bank of Baroda,FINANCIAL SERVICES,BANKBARODA,23773
Bank of India,FINANCIAL SERVICES,BANKINDIA,16352
Bank of Maharashtra.,FINANCIAL SERVICES,MAHABANK,500
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,16481
Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,BAYERCROP,27811
Berger Paints India Ltd.,CONSUMER GOODS,BERGEPAINT,47905
Bharat Dynamics Ltd.,INDUSTRIAL MANUFACTURING,BDL,6120
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,21686
Bharat Forge Ltd.,INDUSTRIAL MANUFACTURING,BHARATFORG,15569
Bharat Heavy Electricals Ltd.,INDUSTRIAL MANUFACTURING,BHEL,12779
Bharat Petroleum Corporation Ltd.,OIL & GAS,BPCL,83213
Bharat Rasayan Ltd.,FERTILISERS & PESTICIDES,BHARATRAS,500
Bharti Airtel Ltd.,TELECOM,BHARTIARTL,304693
Bharti Infratel Ltd.,TELECOM,INFRATEL,41126
Biocon Ltd.,PHARMA,BIOCON,47028
Birla Corporation Ltd.,CEMENT & CEMENT PRODUCTS,BIRLACORPN,4623
Birlasoft Ltd.,IT,BSOFT,2513
Bliss GVS Pharma Ltd.,PHARMA,BLISSGVS,1014
Blue Dart Express Ltd.,SERVICES,BLUEDART,4774
Blue Star Ltd.,CONSUMER GOODS,BLUESTARCO,4817
Bombay Burmah Trading Corporation Ltd.,CONSUMER GOODS,BBTC,7190
Bombay Dyeing & Manufacturing Co. Ltd.,CONSTRUCTION,BOMDYEING,500
Bosch Ltd.,AUTOMOBILE,BOSCHLTD,35134
Brigade Enterprises Ltd.,CONSTRUCTION,BRIGADE,2688
Britannia Industries Ltd.,CONSUMER GOODS,BRITANNIA,85080
CARE Ratings Ltd.,FINANCIAL SERVICES,CARERATING,1214
CCL Products (I) Ltd.,CONSUMER GOODS,CCL,500
CESC Ltd.,POWER,CESC,8425
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,12195
CSB Bank Ltd.,FINANCIAL SERVICES,CSBBANK,500
Cadila Healthcare Ltd.,PHARMA,CADILAHC,37187
Can Fin Homes Ltd.,FINANCIAL SERVICES,CANFINHOME,4778
Canara Bank,FINANCIAL SERVICES,CANBK,15196
Caplin Point Laboratories Ltd.,PHARMA,CAPLIPOINT,2551
Capri Global Capital Ltd.,FINANCIAL SERVICES,CGCL,3073
Carborundum Universal Ltd.,INDUSTRIAL MANUFACTURING,CARBORUNIV,5174
Castrol India Ltd.,OIL & GAS,CASTROLIND,12250
Ceat Ltd.,AUTOMOBILE,CEATLTD,3713
Central Bank of India,FINANCIAL SERVICES,CENTRALBK,10163
Central Depository Services (India) Ltd.,FINANCIAL SERVICES,CDSL,2872
Century Plyboards (India) Ltd.,CONSUMER GOODS,CENTURYPLY,2647
Century Textile & Industries Ltd.,PAPER,CENTURYTEX,500
Cera Sanitaryware Ltd,CONSTRUCTION,CERA,500
Chambal Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,CHAMBLFERT,500
Chennai Petroleum Corporation Ltd.,OIL & GAS,CHENNPETRO,1196
Cholamandalam Financial Holdings Ltd.,FINANCIAL SERVICES,CHOLAHLDNG,5680
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,500
Cipla Ltd.,PHARMA,CIPLA,52069
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,9204
Coal India Ltd.,METALS,COALINDIA,82365
Cochin Shipyard Ltd.,INDUSTRIAL MANUFACTURING,COCHINSHIP,3976
Colgate Palmolive (India) Ltd.,CONSUMER GOODS,COLPAL,500
Container Corporation of India Ltd.,SERVICES,CONCOR,25724
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,22044
CreditAccess Grameen Ltd.,FINANCIAL SERVICES,CREDITACC,7614
Crompton Greaves Consumer Electricals Ltd.,CONSUMER GOODS,CROMPTON,15045
Cummins India Ltd.,INDUSTRIAL MANUFACTURING,CUMMINSIND,11020
Cyient Ltd.,IT,CYIENT,3015
D.B.Corp Ltd.,MEDIA & ENTERTAINMENT,DBCORP,500
DCB Bank Ltd.,FINANCIAL SERVICES,DCBBANK,2502
DCM Shriram Ltd.,CONSUMER GOODS,DCMSHRIRAM,4948
DLF Ltd.,CONSTRUCTION,DLF,37835
Dabur India Ltd.,CONSUMER GOODS,DABUR,82255
Dalmia Bharat Ltd.,CEMENT & CEMENT PRODUCTS,DALBHARAT,13609
Deepak Nitrite Ltd.,CHEMICALS,DEEPAKNTR,6573
Delta Corp Ltd.,SERVICES,DELTACORP,2443
Dhanuka Agritech Ltd.,FERTILISERS & PESTICIDES,DHANUKA,500
Dilip Buildcon Ltd.,CONSTRUCTION,DBL,3899
Dish TV India Ltd.,MEDIA & ENTERTAINMENT,DISHTV,1578
Dishman Carbogen Amcis Ltd.,PHARMA,DCAL,1977
Divi's Laboratories Ltd.,PHARMA,DIVISLAB,500
Dixon Technologies (India) Ltd.,CONSUMER GOODS,DIXON,6885
Dr. Lal Path Labs Ltd.,HEALTHCARE SERVICES,LALPATHLAB,500
Dr. Reddy's Laboratories Ltd.,PHARMA,DRREDDY,500
E.I.D. Parry (India) Ltd.,FERTILISERS & PESTICIDES,EIDPARRY,4708
EIH Ltd.,SERVICES,EIHOTEL,3761
ESAB India Ltd.,INDUSTRIAL MANUFACTURING,ESABINDIA,500
Edelweiss Financial Services Ltd.,FINANCIAL SERVICES,EDELWEISS,5661
Eicher Motors Ltd.,AUTOMOBILE,EICHERMOT,50108
Elgi Equipments Ltd.,INDUSTRIAL MANUFACTURING,ELGIEQUIP,2275
Emami Ltd.,CONSUMER GOODS,EMAMILTD,10211
Endurance Technologies Ltd.,AUTOMOBILE,ENDURANCE,12103
Engineers India Ltd.,CONSTRUCTION,ENGINERSIN,4739
Equitas Holdings Ltd.,FINANCIAL SERVICES,EQUITAS,1873
Eris Lifesciences Ltd.,PHARMA,ERIS,6086
Escorts Ltd.,AUTOMOBILE,ESCORTS,12763
Essel Propack Ltd.,INDUSTRIAL MANUFACTURING,ESSELPACK,5880
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,13009
FDC Ltd.,PHARMA,FDC,4608
Federal Bank Ltd.,FINANCIAL SERVICES,FEDERALBNK,500
Fine Organic Industries Ltd.,CHEMICALS,FINEORG,5715
Finolex Cables Ltd.,INDUSTRIAL MANUFACTURING,FINCABLES,4447
Finolex Industries Ltd.,INDUSTRIAL MANUFACTURING,FINPIPE,6174
Firstsource Solutions Ltd.,IT,FSL,2537
Fortis Healthcare Ltd.,HEALTHCARE SERVICES,FORTIS,9701
Future Consumer Ltd.,CONSUMER GOODS,FCONSUMER,2949
Future Retail Ltd.,CONSUMER GOODS,FRETAIL,7705
GAIL (India) Ltd.,OIL & GAS,GAIL,46657
GE Power India Ltd.,INDUSTRIAL MANUFACTURING,GEPIL,3099
GE T&D India Ltd.,INDUSTRIAL MANUFACTURING,GET&D,1970
GHCL Ltd.,CHEMICALS,GHCL,1343
GMM Pfaudler Ltd.,INDUSTRIAL MANUFACTURING,GMMPFAUDLR,500
GMR Infrastructure Ltd.,CONSTRUCTION,GMRINFRA,12736
Galaxy Surfactants Ltd.,CHEMICALS,GALAXYSURF,5502
Garden Reach Shipbuilders & Engineers Ltd.,INDUSTRIAL MANUFACTURING,GRSE,500
Garware Technical Fibres Ltd.,TEXTILES,GARFIBRES,3057
General Insurance Corporation of India,FINANCIAL SERVICES,GICRE,500
Gillette India Ltd.,CONSUMER GOODS,GILLETTE,16932
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,24854
Glenmark Pharmaceuticals Ltd.,PHARMA,GLENMARK,12280
Godfrey Phillips India Ltd.,CONSUMER GOODS,GODFRYPHLP,5120
Godrej Agrovet Ltd.,CONSUMER GOODS,GODREJAGRO,8359
Godrej Consumer Products Ltd.,CONSUMER GOODS,GODREJCP,71255
Godrej Industries Ltd.,CONSUMER GOODS,GODREJIND,13498
Godrej Properties Ltd.,CONSTRUCTION,GODREJPROP,21868
Granules India Ltd.,PHARMA,GRANULES,5282
Graphite India Ltd.,INDUSTRIAL MANUFACTURING,GRAPHITE,3691
Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,GRASIM,40649
Great Eastern Shipping Co. Ltd.,SERVICES,GESHIP,500
Greaves Cotton Ltd.,INDUSTRIAL MANUFACTURING,GREAVESCOT,2000
Grindwell Norton Ltd.,INDUSTRIAL MANUFACTURING,GRINDWELL,5420
Gujarat Alkalies & Chemicals Ltd.,CHEMICALS,GUJALKALI,2408
Gujarat Fluorochemicals Ltd.,CHEMICALS,FLUOROCHEM,500
Gujarat Gas Ltd.,OIL & GAS,GUJGASLTD,22115
Gujarat Mineral Development Corporation Ltd.,METALS,GMDCLTD,1297
Gujarat Narmada Valley Fertilizers and Chemicals Ltd.,CHEMICALS,GNFC,500
Gujarat Pipavav Port Ltd.,SERVICES,GPPL,3819
Gujarat State Fertilizers & Chemicals Ltd.,FERTILISERS & PESTICIDES,GSFC,2172
Gujarat State Petronet Ltd.,OIL & GAS,GSPL,12682
Gulf Oil Lubricants India Ltd.,OIL & GAS,GULFOILLUB,2886
H.E.G. Ltd.,INDUSTRIAL MANUFACTURING,HEG,500
HCL Technologies Ltd.,IT,HCLTECH,154638
HDFC Asset Management Company Ltd.,FINANCIAL SERVICES,HDFCAMC,53556
HDFC Bank Ltd.,FINANCIAL SERVICES,HDFCBANK,598276
HDFC Life Insurance Company Ltd.,FINANCIAL SERVICES,HDFCLIFE,500
HFCL Ltd.,TELECOM,HFCL,2036
Hathway Cable & Datacom Ltd.,MEDIA & ENTERTAINMENT,HATHWAY,500
Hatsun Agro Product Ltd.,CONSUMER GOODS,HATSUN,500
Havells India Ltd.,CONSUMER GOODS,HAVELLS,36374
HeidelbergCement India Ltd.,CEMENT & CEMENT PRODUCTS,HEIDELBERG,500
Heritage Foods Ltd.,CONSUMER GOODS,HERITGFOOD,1205
Hero MotoCorp Ltd.,AUTOMOBILE,HEROMOTOCO,53382
Hexaware Technologies Ltd.,IT,HEXAWARE,10036
Himadri Speciality Chemical Ltd.,CHEMICALS,HSCL,2000
Himatsingka Seide Ltd.,TEXTILES,HIMATSEIDE,628
Hindalco Industries Ltd.,METALS,HINDALCO,33189
Hindustan Aeronautics Ltd.,INDUSTRIAL MANUFACTURING,HAL,25816
Hindustan Copper Ltd.,METALS,HINDCOPPER,3025
Hindustan Petroleum Corporation Ltd.,OIL & GAS,HINDPETRO,32777
Hindustan Unilever Ltd.,CONSUMER GOODS,HINDUNILVR,505298
Hindustan Zinc Ltd.,METALS,HINDZINC,82964
Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT,26281
Housing & Urban Development Corporation Ltd.,FINANCIAL SERVICES,HUDCO,6646
Housing Development Finance Corporation Ltd.,FINANCIAL SERVICES,HDFC,327720
ICICI Bank Ltd.,FINANCIAL SERVICES,ICICIBANK,234883
ICICI Lombard General Insurance Company Ltd.,FINANCIAL SERVICES,ICICIGI,500
ICICI Prudential Life Insurance Company Ltd.,FINANCIAL SERVICES,ICICIPRULI,61075
ICICI Securities Ltd.,FINANCIAL SERVICES,ISEC,15890
ICRA Ltd.,FINANCIAL SERVICES,ICRA,2409
IDBI Bank Ltd.,FINANCIAL SERVICES,IDBI,50034
IDFC First Bank Ltd.,FINANCIAL SERVICES,IDFCFIRSTB,15202
IDFC Ltd.,FINANCIAL SERVICES,IDFC,3049
IFB Industries Ltd.,CONSUMER GOODS,IFBIND,1702
IFCI Ltd.,FINANCIAL SERVICES,IFCI,1509
IIFL Finance Ltd.,FINANCIAL SERVICES,IIFL,2868
IIFL Wealth Management Ltd.,FINANCIAL SERVICES,IIFLWAM,500
IRB Infrastructure Developers Ltd.,CONSTRUCTION,IRB,3344
IRCON International Ltd.,CONSTRUCTION,IRCON,4380
ITC Ltd.,CONSUMER GOODS,ITC,253220
ITI Ltd.,TELECOM,ITI,9543
India Cements Ltd.,CEMENT & CEMENT PRODUCTS,INDIACEM,500
India Tourism Development Corporation Ltd.,SERVICES,ITDC,1820
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,9627
Indiabulls Real Estate Ltd.,CONSTRUCTION,IBREALEST,2446
Indiabulls Ventures Ltd.,FINANCIAL SERVICES,IBVENTURES,7301
Indiamart Intermesh Ltd.,CONSUMER GOODS,INDIAMART,6128
Indian Bank,FINANCIAL SERVICES,INDIANB,7420
Indian Energy Exchange Ltd.,FINANCIAL SERVICES,IEX,5507
Indian Hotels Co. Ltd.,SERVICES,INDHOTEL,500
Indian Oil Corporation Ltd.,OIL & GAS,IOC,83221
Indian Overseas Bank ,FINANCIAL SERVICES,IOB,500
Indian Railway Catering And Tourism Corporation Ltd.,SERVICES,IRCTC,500
IndoStar Capital Finance Ltd.,FINANCIAL SERVICES,INDOSTAR,3350
Indoco Remedies Ltd.,PHARMA,INDOCO,500
