Company Name,Sector,Ticker,MarketCap,MarketCap2,,3M India Ltd.,3M India Ltd.,"18,450",-1.16%,"21,028","25,209","15,686",19.53,96.03,10.14,39.57
3M India Ltd.,SERVICES,3MINDIA,21028,21028,,Add to ,,,,,,,,,,
ABB India Ltd.,INDUSTRIAL MANUFACTURING,ABB,,500,,Aarti Industries Ltd.,Very Good,925.5,-0.16%,"16,151","1,192",662,23.31,30.13,5.42,18.39
ACC Ltd.,CEMENT & CEMENT PRODUCTS,ACC,24944,24944,,Add to ,,,,,,,,,,
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,15436,15436,,Aavas Financiers Ltd.,Somewhat,"1,335",2.46%,"10,209","2,078",845.8,11.79,40.99,4.87,-
APL Apollo Tubes Ltd.,METALS,APLAPOLLO,"4,387",4387,,Add to ,Good,,,,,,,,,
AU Small Finance Bank Ltd.,FINANCIAL SERVICES,AUBANK,,17626,,Abbott India Ltd.,Very Good,"15,662",-0.89%,"33,577","18,569","8,300",24.13,56.63,13.81,52.41
Aarti Industries Ltd.,CHEMICALS,AARTIIND,16151,16151,,Add to ,,,,,,,,,,
Aavas Financiers Ltd.,FINANCIAL SERVICES,AAVAS,10209,10209,,ACC Ltd.,Very Good,"1,315",-1.03%,"24,944","1,708",895.5,12.2,18.42,2.1,8.4
Abbott India Ltd.,PHARMA,ABBOTINDIA,33577,33577,,Add to ,,,,,,,,,,
Adani Gas Ltd.,OIL & GAS,ADANIGAS,18015,18015,,Adani Gas Ltd.,Somewhat,161.2,-1.59%,"18,015",194.6,76.7,33.55,41.29,12.25,30.82
Adani Green Energy Ltd.,POWER,ADANIGREEN,55960,55960,,Add to ,Good,,,,,,,,,
Adani Ports and Special Economic Zone Ltd.,SERVICES,ADANIPORTS,70471,70471,,Adani Green Energy Ltd.,Not Good,375.6,4.99%,"55,960",486.6,42.55,41.85,0,73.32,40.14
Adani Power Ltd.,POWER,ADANIPOWER,13827,13827,,Add to ,,,,,,,,,,
Adani Transmission Ltd.,POWER,ADANITRANS,29189,29189,,Adani Ports and Special Economic Zone Ltd.,Somewhat,360.4,3.91%,"70,471",428.9,203.4,19.74,18.73,2.75,13.05
Aditya Birla Capital Ltd.,FINANCIAL SERVICES,ABCAPITAL,16294,16294,,Add to ,Good,,,,,,,,,
Aditya Birla Fashion and Retail Ltd.,CONSUMER GOODS,ABFRL,9504,9504,,Adani Power Ltd.,Not Good,35.9,0.14%,"13,827",73.75,24.3,-7.61,0,1.93,-
Advanced Enzyme Tech Ltd.,CONSUMER GOODS,ADVENZYMES,1916,500,,Add to ,,,,,,,,,,
Aegis Logistics Ltd.,OIL & GAS,AEGISCHEM,5812,5812,,Adani Transmission Ltd.,Not Good,261.3,-1.54%,"29,189",365.8,147.5,13.62,39.35,5.59,12.67
Affle (India) Ltd.,IT,AFFLE,3700,3700,,Add to ,,,,,,,,,,
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,12457,500,,Aditya Birla Capital Ltd.,Somewhat,65.55,-2.89%,"16,294",115.3,37.45,6.58,17.71,1.3,-
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,8199,8199,,Add to ,Good,,,,,,,,,
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,16975,16975,,Aditya Birla Fashion and Retail Ltd.,Somewhat,120.5,-1.83%,"9,504",285.3,97.05,24.93,0,8.75,18.81
Alkem Laboratories Ltd.,PHARMA,ALKEM,28098,28098,,Add to ,Good,,,,,,,,,
Alkyl Amines Chemicals Ltd.,CHEMICALS,ALKYLAMINE,,500,,Advanced Enzyme Technologies Ltd.,Very Good,171,-0.35%,"1,916",206.8,91.05,16.95,14.82,2.29,8.54
Allcargo Logistics Ltd.,SERVICES,ALLCARGO,"2,001",2001,,Add to ,,,,,,,,,,
